seq,job_id,product,operation_type,processing_time,arrival_time,due_date,priority_weight,p_over_w_ratio,start_time,completion_time,waiting_time,flow_time,tardiness,weighted_completion
297,J0179,Battery Module Cover,Milling,47,165,312,4,11.75,8553,8600,8388,8435,8288,34400
298,J0385,Engine Bracket,Grinding,47,216,321,4,11.75,8600,8647,8384,8431,8326,34588
299,J0796,Brake Component,Grinding,47,405,530,4,11.75,8647,8694,8242,8289,8164,34776
300,J0121,Battery Module Cover,Assembly,59,500,599,5,11.8,8694,8753,8194,8253,8154,43765
301,J0707,Battery Module Cover,Milling,59,129,210,5,11.8,8753,8812,8624,8683,8602,44060
302,J0011,Engine Bracket,Milling,36,357,443,3,12.0,8812,8848,8455,8491,8405,26544
303,J0109,Drive Shaft,Lathe,60,15,125,5,12.0,8848,8908,8833,8893,8783,44540
304,J0180,Sensor Housing,Drilling,12,415,518,1,12.0,8908,8920,8493,8505,8402,8920
305,J0259,EV Battery Case,Assembly,60,313,438,5,12.0,8920,8980,8607,8667,8542,44900
306,J0428,Engine Bracket,Milling,48,222,306,4,12.0,8980,9028,8758,8806,8722,36112
307,J0511,Sensor Housing,Milling,12,455,604,1,12.0,9028,9040,8573,8585,8436,9040
308,J0529,Battery Module Cover,Assembly,48,446,620,4,12.0,9040,9088,8594,8642,8468,36352
309,J0565,EV Battery Case,Milling,60,382,576,5,12.0,9088,9148,8706,8766,8572,45740
310,J0607,Sensor Housing,Milling,12,130,270,1,12.0,9148,9160,9018,9030,8890,9160
311,J0635,Gear Box Cover,Drilling,36,141,286,3,12.0,9160,9196,9019,9055,8910,27588
312,J0654,Sensor Housing,Milling,24,68,136,2,12.0,9196,9220,9128,9152,9084,18440
313,J0656,Engine Bracket,Milling,36,445,620,3,12.0,9220,9256,8775,8811,8636,27768
314,J0736,Sensor Housing,Drilling,12,407,484,1,12.0,9256,9268,8849,8861,8784,9268
315,J0901,EV Battery Case,Assembly,60,40,117,5,12.0,9268,9328,9228,9288,9211,46640
316,J0995,Sensor Housing,Milling,12,89,232,1,12.0,9328,9340,9239,9251,9108,9340
317,J0645,EV Battery Case,Assembly,61,473,657,5,12.2,9340,9401,8867,8928,8744,47005
318,J0927,EV Battery Case,Assembly,61,198,327,5,12.2,9401,9462,9203,9264,9135,47310
319,J0996,EV Battery Case,Assembly,61,12,88,5,12.2,9462,9523,9450,9511,9435,47615
320,J0301,Brake Component,Grinding,49,329,448,4,12.25,9523,9572,9194,9243,9124,38288
321,J0308,Engine Bracket,Milling,49,237,321,4,12.25,9572,9621,9335,9384,9300,38484
322,J0524,Brake Component,Grinding,49,428,547,4,12.25,9621,9670,9193,9242,9123,38680
323,J0532,Engine Bracket,Milling,49,363,433,4,12.25,9670,9719,9307,9356,9286,38876
324,J0577,Battery Module Cover,Assembly,49,352,458,4,12.25,9719,9768,9367,9416,9310,39072
325,J0814,Drive Shaft,Grinding,49,485,591,4,12.25,9768,9817,9283,9332,9226,39268
326,J0176,Engine Bracket,Grinding,37,287,390,3,12.33,9817,9854,9530,9567,9464,29562
327,J0307,Gear Box Cover,Drilling,37,55,145,3,12.33,9854,9891,9799,9836,9746,29673
328,J0638,Engine Bracket,Milling,37,123,216,3,12.33,9891,9928,9768,9805,9712,29784
329,J0832,Gear Box Cover,Milling,37,272,421,3,12.33,9928,9965,9656,9693,9544,29895
330,J0362,Drive Shaft,Lathe,62,339,413,5,12.4,9965,10027,9626,9688,9614,50135
331,J0701,EV Battery Case,Milling,62,209,297,5,12.4,10027,10089,9818,9880,9792,50445
332,J0887,EV Battery Case,Assembly,62,238,325,5,12.4,10089,10151,9851,9913,9826,50755
333,J0001,Engine Bracket,Milling,50,333,427,4,12.5,10151,10201,9818,9868,9774,40804
334,J0091,Battery Module Cover,Milling,50,478,652,4,12.5,10201,10251,9723,9773,9599,41004
335,J0138,Battery Module Cover,Assembly,50,241,367,4,12.5,10251,10301,10010,10060,9934,41204
336,J0141,Sensor Housing,Milling,25,82,149,2,12.5,10301,10326,10219,10244,10177,20652
337,J0345,Battery Module Cover,Assembly,50,430,609,4,12.5,10326,10376,9896,9946,9767,41504
338,J0383,Battery Module Cover,Milling,50,192,330,4,12.5,10376,10426,10184,10234,10096,41704
339,J0187,EV Battery Case,Milling,63,475,579,5,12.6,10426,10489,9951,10014,9910,52445
340,J0611,Battery Module Cover,Milling,63,7,89,5,12.6,10489,10552,10482,10545,10463,52760
341,J0703,Battery Module Cover,Milling,63,339,437,5,12.6,10552,10615,10213,10276,10178,53075
342,J0939,EV Battery Case,Assembly,63,50,260,5,12.6,10615,10678,10565,10628,10418,53390
343,J0017,Gear Box Cover,Milling,38,374,534,3,12.67,10678,10716,10304,10342,10182,32148
344,J0059,Engine Bracket,Grinding,38,31,154,3,12.67,10716,10754,10685,10723,10600,32262
345,J0096,Gear Box Cover,Milling,38,43,169,3,12.67,10754,10792,10711,10749,10623,32376
346,J0114,Engine Bracket,Milling,38,118,254,3,12.67,10792,10830,10674,10712,10576,32490
347,J0178,Gear Box Cover,Milling,38,361,486,3,12.67,10830,10868,10469,10507,10382,32604
348,J0193,Engine Bracket,Milling,38,49,217,3,12.67,10868,10906,10819,10857,10689,32718
349,J0432,Engine Bracket,Milling,38,70,238,3,12.67,10906,10944,10836,10874,10706,32832
350,J0659,Gear Box Cover,Drilling,38,165,246,3,12.67,10944,10982,10779,10817,10736,32946
351,J0827,Engine Bracket,Milling,38,474,609,3,12.67,10982,11020,10508,10546,10411,33060
352,J0972,Gear Box Cover,Milling,38,223,314,3,12.67,11020,11058,10797,10835,10744,33174
353,J0336,Drive Shaft,Lathe,51,107,281,4,12.75,11058,11109,10951,11002,10828,44436
354,J0760,Drive Shaft,Grinding,51,88,236,4,12.75,11109,11160,11021,11072,10924,44640
355,J0823,Drive Shaft,Grinding,51,300,440,4,12.75,11160,11211,10860,10911,10771,44844
356,J0580,EV Battery Case,Milling,64,145,222,5,12.8,11211,11275,11066,11130,11053,56375
357,J0900,EV Battery Case,Milling,64,252,398,5,12.8,11275,11339,11023,11087,10941,56695
358,J0949,EV Battery Case,Assembly,64,413,557,5,12.8,11339,11403,10926,10990,10846,57015
359,J0044,Sensor Housing,Milling,13,241,382,1,13.0,11403,11416,11162,11175,11034,11416
360,J0046,Engine Bracket,Milling,39,52,156,3,13.0,11416,11455,11364,11403,11299,34365
361,J0058,Brake Component,Grinding,52,123,256,4,13.0,11455,11507,11332,11384,11251,46028
362,J0079,Sensor Housing,Drilling,13,20,96,1,13.0,11507,11520,11487,11500,11424,11520
363,J0081,Engine Bracket,Grinding,39,274,426,3,13.0,11520,11559,11246,11285,11133,34677
364,J0102,EV Battery Case,Assembly,65,135,258,5,13.0,11559,11624,11424,11489,11366,58120
365,J0149,EV Battery Case,Assembly,65,138,292,5,13.0,11624,11689,11486,11551,11397,58445
366,J0207,Sensor Housing,Milling,13,19,155,1,13.0,11689,11702,11670,11683,11547,11702
367,J0232,Gear Box Cover,Milling,39,65,190,3,13.0,11702,11741,11637,11676,11551,35223
368,J0238,Sensor Housing,Drilling,13,81,212,1,13.0,11741,11754,11660,11673,11542,11754
369,J0239,Engine Bracket,Grinding,39,130,270,3,13.0,11754,11793,11624,11663,11523,35379
370,J0240,Brake Component,Grinding,52,121,217,4,13.0,11793,11845,11672,11724,11628,47380
371,J0318,Sensor Housing,Milling,13,278,422,1,13.0,11845,11858,11567,11580,11436,11858
372,J0323,Drive Shaft,Grinding,52,129,272,4,13.0,11858,11910,11729,11781,11638,47640
373,J0358,Battery Module Cover,Assembly,65,153,230,5,13.0,11910,11975,11757,11822,11745,59875
374,J0398,Sensor Housing,Drilling,13,265,330,1,13.0,11975,11988,11710,11723,11658,11988
375,J0434,Drive Shaft,Grinding,52,265,399,4,13.0,11988,12040,11723,11775,11641,48160
376,J0467,Battery Module Cover,Milling,52,124,310,4,13.0,12040,12092,11916,11968,11782,48368
377,J0517,EV Battery Case,Assembly,65,88,187,5,13.0,12092,12157,12004,12069,11970,60785
378,J0568,Sensor Housing,Drilling,13,334,404,1,13.0,12157,12170,11823,11836,11766,12170
379,J0600,Battery Module Cover,Assembly,65,121,198,5,13.0,12170,12235,12049,12114,12037,61175
380,J0661,Drive Shaft,Grinding,52,116,260,4,13.0,12235,12287,12119,12171,12027,49148
381,J0757,Battery Module Cover,Assembly,52,71,261,4,13.0,12287,12339,12216,12268,12078,49356
382,J0803,Engine Bracket,Milling,39,179,336,3,13.0,12339,12378,12160,12199,12042,37134
383,J0811,Drive Shaft,Grinding,52,464,619,4,13.0,12378,12430,11914,11966,11811,49720
384,J0829,Sensor Housing,Milling,13,387,524,1,13.0,12430,12443,12043,12056,11919,12443
385,J0882,EV Battery Case,Milling,65,204,419,5,13.0,12443,12508,12239,12304,12089,62540
386,J0899,EV Battery Case,Assembly,65,188,332,5,13.0,12508,12573,12320,12385,12241,62865
387,J0950,Sensor Housing,Milling,13,339,400,1,13.0,12573,12586,12234,12247,12186,12586
388,J0956,Drive Shaft,Lathe,52,306,490,4,13.0,12586,12638,12280,12332,12148,50552
389,J0960,Gear Box Cover,Milling,39,244,432,3,13.0,12638,12677,12394,12433,12245,38031
390,J1000,Sensor Housing,Milling,13,67,213,1,13.0,12677,12690,12610,12623,12477,12690
391,J0505,Battery Module Cover,Assembly,66,308,394,5,13.2,12690,12756,12382,12448,12362,63780
392,J0552,EV Battery Case,Milling,66,279,404,5,13.2,12756,12822,12477,12543,12418,64110
393,J0718,EV Battery Case,Assembly,66,303,468,5,13.2,12822,12888,12519,12585,12420,64440
394,J0018,Battery Module Cover,Milling,53,366,544,4,13.25,12888,12941,12522,12575,12397,51764
395,J0569,Drive Shaft,Lathe,53,396,507,4,13.25,12941,12994,12545,12598,12487,51976
396,J0616,Battery Module Cover,Assembly,53,86,272,4,13.25,12994,13047,12908,12961,12775,52188
397,J0852,Battery Module Cover,Assembly,53,284,403,4,13.25,13047,13100,12763,12816,12697,52400
398,J0860,Gear Box Cover,Milling,53,388,498,4,13.25,13100,13153,12712,12765,12655,52612
399,J0872,Brake Component,Grinding,53,223,408,4,13.25,13153,13206,12930,12983,12798,52824
400,J0881,Drive Shaft,Grinding,53,291,390,4,13.25,13206,13259,12915,12968,12869,53036
401,J0915,Brake Component,Grinding,53,353,526,4,13.25,13259,13312,12906,12959,12786,53248
402,J0133,Engine Bracket,Milling,40,497,642,3,13.33,13312,13352,12815,12855,12710,40056
403,J0304,Engine Bracket,Grinding,40,120,224,3,13.33,13352,13392,13232,13272,13168,40176
404,J0628,Gear Box Cover,Drilling,40,414,538,3,13.33,13392,13432,12978,13018,12894,40296
405,J0793,Engine Bracket,Milling,40,101,252,3,13.33,13432,13472,13331,13371,13220,40416
406,J0935,Engine Bracket,Grinding,40,267,378,3,13.33,13472,13512,13205,13245,13134,40536
407,J0938,Gear Box Cover,Drilling,40,328,441,3,13.33,13512,13552,13184,13224,13111,40656
408,J0277,EV Battery Case,Milling,67,418,593,5,13.4,13552,13619,13134,13201,13026,68095
409,J0962,EV Battery Case,Milling,67,158,323,5,13.4,13619,13686,13461,13528,13363,68430
410,J0019,Engine Bracket,Milling,54,181,252,4,13.5,13686,13740,13505,13559,13488,54960
411,J0339,Brake Component,Grinding,54,85,267,4,13.5,13740,13794,13655,13709,13527,55176
412,J0414,Drive Shaft,Lathe,54,80,202,4,13.5,13794,13848,13714,13768,13646,55392
413,J0809,Drive Shaft,Grinding,54,263,413,4,13.5,13848,13902,13585,13639,13489,55608
414,J0151,EV Battery Case,Assembly,68,16,221,5,13.6,13902,13970,13886,13954,13749,69850
415,J0217,EV Battery Case,Assembly,68,7,94,5,13.6,13970,14038,13963,14031,13944,70190
416,J0658,EV Battery Case,Milling,68,325,535,5,13.6,14038,14106,13713,13781,13571,70530
417,J0861,Battery Module Cover,Assembly,68,398,521,5,13.6,14106,14174,13708,13776,13653,70870
418,J0158,Gear Box Cover,Milling,41,36,191,3,13.67,14174,14215,14138,14179,14024,42645
419,J0570,Engine Bracket,Grinding,41,492,681,3,13.67,14215,14256,13723,13764,13575,42768
420,J0652,Engine Bracket,Milling,41,4,97,3,13.67,14256,14297,14252,14293,14200,42891
421,J0879,Gear Box Cover,Milling,41,302,408,3,13.67,14297,14338,13995,14036,13930,43014
422,J0155,Drive Shaft,Grinding,55,282,377,4,13.75,14338,14393,14056,14111,14016,57572
423,J0163,Drive Shaft,Grinding,55,131,280,4,13.75,14393,14448,14262,14317,14168,57792
424,J0328,Brake Component,Grinding,55,369,482,4,13.75,14448,14503,14079,14134,14021,58012
425,J0364,Brake Component,Grinding,55,363,496,4,13.75,14503,14558,14140,14195,14062,58232
426,J0387,Brake Component,Grinding,55,350,508,4,13.75,14558,14613,14208,14263,14105,58452
427,J0460,Drive Shaft,Lathe,55,17,191,4,13.75,14613,14668,14596,14651,14477,58672
428,J0473,Brake Component,Grinding,55,166,297,4,13.75,14668,14723,14502,14557,14426,58892
429,J0590,Brake Component,Grinding,55,297,438,4,13.75,14723,14778,14426,14481,14340,59112
430,J0709,Battery Module Cover,Milling,55,130,331,4,13.75,14778,14833,14648,14703,14502,59332
431,J0894,Engine Bracket,Grinding,55,343,455,4,13.75,14833,14888,14490,14545,14433,59552
432,J0671,EV Battery Case,Assembly,69,498,624,5,13.8,14888,14957,14390,14459,14333,74785
433,J0965,EV Battery Case,Assembly,69,311,497,5,13.8,14957,15026,14646,14715,14529,75130
434,J0031,Gear Box Cover,Milling,42,174,269,3,14.0,15026,15068,14852,14894,14799,45204
435,J0051,Drive Shaft,Grinding,56,410,598,4,14.0,15068,15124,14658,14714,14526,60496
436,J0074,EV Battery Case,Assembly,70,361,536,5,14.0,15124,15194,14763,14833,14658,75970
437,J0196,Sensor Housing,Drilling,14,143,244,1,14.0,15194,15208,15051,15065,14964,15208
438,J0197,Engine Bracket,Grinding,42,224,337,3,14.0,15208,15250,14984,15026,14913,45750
439,J0218,Drive Shaft,Grinding,56,293,436,4,14.0,15250,15306,14957,15013,14870,61224
440,J0244,Battery Module Cover,Assembly,56,274,420,4,14.0,15306,15362,15032,15088,14942,61448
441,J0288,Sensor Housing,Milling,14,390,450,1,14.0,15362,15376,14972,14986,14926,15376
442,J0410,Sensor Housing,Milling,14,301,452,1,14.0,15376,15390,15075,15089,14938,15390
443,J0458,Engine Bracket,Grinding,42,258,368,3,14.0,15390,15432,15132,15174,15064,46296
444,J0462,Battery Module Cover,Assembly,56,62,213,4,14.0,15432,15488,15370,15426,15275,61952
445,J0535,Sensor Housing,Milling,14,64,169,1,14.0,15488,15502,15424,15438,15333,15502
446,J0540,Sensor Housing,Milling,14,58,189,1,14.0,15502,15516,15444,15458,15327,15516
447,J0562,Engine Bracket,Grinding,42,56,195,3,14.0,15516,15558,15460,15502,15363,46674
448,J0574,EV Battery Case,Milling,70,29,145,5,14.0,15558,15628,15529,15599,15483,78140
449,J0581,Battery Module Cover,Milling,56,32,213,4,14.0,15628,15684,15596,15652,15471,62736
450,J0624,Sensor Housing,Drilling,14,406,561,1,14.0,15684,15698,15278,15292,15137,15698
451,J0771,Engine Bracket,Grinding,42,145,253,3,14.0,15698,15740,15553,15595,15487,47220
452,J0797,Gear Box Cover,Milling,42,449,584,3,14.0,15740,15782,15291,15333,15198,47346
453,J0801,Gear Box Cover,Milling,42,110,197,3,14.0,15782,15824,15672,15714,15627,47472
454,J0896,Gear Box Cover,Milling,42,362,470,3,14.0,15824,15866,15462,15504,15396,47598
455,J0291,Battery Module Cover,Milling,71,483,577,5,14.2,15866,15937,15383,15454,15360,79685
456,J0089,Battery Module Cover,Assembly,57,177,306,4,14.25,15937,15994,15760,15817,15688,63976
457,J0302,Battery Module Cover,Assembly,57,154,356,4,14.25,15994,16051,15840,15897,15695,64204
458,J0621,Battery Module Cover,Milling,57,291,462,4,14.25,16051,16108,15760,15817,15646,64432
459,J0979,Drive Shaft,Lathe,57,319,443,4,14.25,16108,16165,15789,15846,15722,64660
460,J0123,Engine Bracket,Grinding,43,469,578,3,14.33,16165,16208,15696,15739,15630,48624
461,J0281,Gear Box Cover,Milling,43,50,215,3,14.33,16208,16251,16158,16201,16036,48753
462,J0817,Engine Bracket,Milling,43,395,531,3,14.33,16251,16294,15856,15899,15763,48882
463,J0871,Engine Bracket,Grinding,43,181,266,3,14.33,16294,16337,16113,16156,16071,49011
464,J0940,Engine Bracket,Milling,43,15,160,3,14.33,16337,16380,16322,16365,16220,49140
465,J0043,EV Battery Case,Assembly,72,265,470,5,14.4,16380,16452,16115,16187,15982,82260
466,J0499,Battery Module Cover,Assembly,72,457,550,5,14.4,16452,16524,15995,16067,15974,82620
467,J0792,Drive Shaft,Lathe,58,495,695,4,14.5,16524,16582,16029,16087,15887,66328
468,J0864,Drive Shaft,Lathe,58,181,280,4,14.5,16582,16640,16401,16459,16360,66560
469,J0313,Drive Shaft,Lathe,73,328,438,5,14.6,16640,16713,16312,16385,16275,83565
470,J0747,EV Battery Case,Milling,73,388,575,5,14.6,16713,16786,16325,16398,16211,83930
471,J0306,Gear Box Cover,Milling,44,406,528,3,14.67,16786,16830,16380,16424,16302,50490
472,J0334,Engine Bracket,Milling,44,437,531,3,14.67,16830,16874,16393,16437,16343,50622
473,J0486,Gear Box Cover,Drilling,44,94,280,3,14.67,16874,16918,16780,16824,16638,50754
474,J0664,Gear Box Cover,Drilling,44,450,561,3,14.67,16918,16962,16468,16512,16401,50886
475,J0172,Drive Shaft,Grinding,59,40,181,4,14.75,16962,17021,16922,16981,16840,68084
476,J0633,Battery Module Cover,Assembly,59,297,455,4,14.75,17021,17080,16724,16783,16625,68320
477,J0753,Drive Shaft,Grinding,59,19,133,4,14.75,17080,17139,17061,17120,17006,68556
478,J0897,Drive Shaft,Grinding,59,313,481,4,14.75,17139,17198,16826,16885,16717,68792
479,J0912,Engine Bracket,Milling,59,82,171,4,14.75,17198,17257,17116,17175,17086,69028
480,J0156,EV Battery Case,Assembly,74,291,487,5,14.8,17257,17331,16966,17040,16844,86655
481,J0167,EV Battery Case,Assembly,74,238,449,5,14.8,17331,17405,17093,17167,16956,87025
482,J0392,EV Battery Case,Assembly,74,203,350,5,14.8,17405,17479,17202,17276,17129,87395
483,J0514,EV Battery Case,Milling,74,214,391,5,14.8,17479,17553,17265,17339,17162,87765
484,J0918,Battery Module Cover,Milling,74,351,482,5,14.8,17553,17627,17202,17276,17145,88135
485,J0063,Sensor Housing,Milling,15,349,475,1,15.0,17627,17642,17278,17293,17167,17642
486,J0066,Sensor Housing,Drilling,15,313,445,1,15.0,17642,17657,17329,17344,17212,17657
487,J0098,Gear Box Cover,Milling,45,137,255,3,15.0,17657,17702,17520,17565,17447,53106
488,J0563,Sensor Housing,Milling,15,227,328,1,15.0,17702,17717,17475,17490,17389,17717
489,J0564,Engine Bracket,Milling,60,36,135,4,15.0,17717,17777,17681,17741,17642,71108
490,J0655,Battery Module Cover,Assembly,75,398,521,5,15.0,17777,17852,17379,17454,17331,89260
491,J0667,Gear Box Cover,Milling,45,163,324,3,15.0,17852,17897,17689,17734,17573,53691
492,J0725,Sensor Housing,Milling,15,247,372,1,15.0,17897,17912,17650,17665,17540,17912
493,J0770,Gear Box Cover,Milling,45,291,440,3,15.0,17912,17957,17621,17666,17517,53871
494,J0877,Sensor Housing,Drilling,15,319,433,1,15.0,17957,17972,17638,17653,17539,17972
495,J0919,Engine Bracket,Grinding,45,174,262,3,15.0,17972,18017,17798,17843,17755,54051
496,J0963,Engine Bracket,Milling,45,16,144,3,15.0,18017,18062,18001,18046,17918,54186
497,J0039,Battery Module Cover,Milling,76,442,544,5,15.2,18062,18138,17620,17696,17594,90690
498,J0351,EV Battery Case,Milling,76,242,428,5,15.2,18138,18214,17896,17972,17786,91070
499,J0421,EV Battery Case,Assembly,76,251,366,5,15.2,18214,18290,17963,18039,17924,91450
500,J0780,EV Battery Case,Milling,76,43,218,5,15.2,18290,18366,18247,18323,18148,91830
501,J0117,Battery Module Cover,Assembly,61,130,319,4,15.25,18366,18427,18236,18297,18108,73708
502,J0157,Drive Shaft,Grinding,61,320,502,4,15.25,18427,18488,18107,18168,17986,73952
503,J0842,Drive Shaft,Grinding,61,77,286,4,15.25,18488,18549,18411,18472,18263,74196
504,J0354,Gear Box Cover,Drilling,46,257,407,3,15.33,18549,18595,18292,18338,18188,55785
505,J0549,Gear Box Cover,Drilling,46,354,528,3,15.33,18595,18641,18241,18287,18113,55923
506,J0618,Engine Bracket,Milling,46,296,411,3,15.33,18641,18687,18345,18391,18276,56061
507,J0132,EV Battery Case,Assembly,77,52,181,5,15.4,18687,18764,18635,18712,18583,93820
508,J0476,EV Battery Case,Milling,77,376,559,5,15.4,18764,18841,18388,18465,18282,94205
509,J0298,Battery Module Cover,Assembly,62,297,418,4,15.5,18841,18903,18544,18606,18485,75612
510,J0438,Battery Module Cover,Assembly,62,266,434,4,15.5,18903,18965,18637,18699,18531,75860
511,J0510,Battery Module Cover,Assembly,62,98,249,4,15.5,18965,19027,18867,18929,18778,76108
512,J0648,Battery Module Cover,Assembly,62,416,562,4,15.5,19027,19089,18611,18673,18527,76356
513,J0726,Drive Shaft,Grinding,62,208,390,4,15.5,19089,19151,18881,18943,18761,76604
514,J0789,Drive Shaft,Grinding,62,132,272,4,15.5,19151,19213,19019,19081,18941,76852
515,J0808,Drive Shaft,Grinding,62,475,609,4,15.5,19213,19275,18738,18800,18666,77100
516,J0352,EV Battery Case,Assembly,78,222,372,5,15.6,19275,19353,19053,19131,18981,96765
517,J0386,EV Battery Case,Assembly,78,426,550,5,15.6,19353,19431,18927,19005,18881,97155
518,J0441,EV Battery Case,Assembly,78,446,580,5,15.6,19431,19509,18985,19063,18929,97545
519,J0898,Battery Module Cover,Milling,78,48,151,5,15.6,19509,19587,19461,19539,19436,97935
520,J0930,Drive Shaft,Grinding,78,92,210,5,15.6,19587,19665,19495,19573,19455,98325
521,J0936,EV Battery Case,Assembly,78,389,604,5,15.6,19665,19743,19276,19354,19139,98715
522,J0381,Engine Bracket,Grinding,47,31,201,3,15.67,19743,19790,19712,19759,19589,59370
523,J0521,Gear Box Cover,Drilling,47,121,243,3,15.67,19790,19837,19669,19716,19594,59511
524,J0547,Engine Bracket,Milling,47,383,523,3,15.67,19837,19884,19454,19501,19361,59652
525,J0606,Engine Bracket,Milling,47,281,445,3,15.67,19884,19931,19603,19650,19486,59793
526,J0626,Engine Bracket,Milling,47,446,584,3,15.67,19931,19978,19485,19532,19394,59934
527,J0714,Gear Box Cover,Drilling,47,122,283,3,15.67,19978,20025,19856,19903,19742,60075
528,J0008,Battery Module Cover,Assembly,63,49,160,4,15.75,20025,20088,19976,20039,19928,80352
529,J0013,Gear Box Cover,Drilling,63,37,136,4,15.75,20088,20151,20051,20114,20015,80604
530,J0045,Battery Module Cover,Milling,63,413,560,4,15.75,20151,20214,19738,19801,19654,80856
531,J0072,Drive Shaft,Grinding,63,129,291,4,15.75,20214,20277,20085,20148,19986,81108
532,J0571,Drive Shaft,Lathe,63,401,543,4,15.75,20277,20340,19876,19939,19797,81360
533,J0733,Drive Shaft,Grinding,63,187,333,4,15.75,20340,20403,20153,20216,20070,81612
534,J0786,Engine Bracket,Milling,63,325,438,4,15.75,20403,20466,20078,20141,20028,81864
535,J0906,Battery Module Cover,Milling,63,130,265,4,15.75,20466,20529,20336,20399,20264,82116
536,J0146,EV Battery Case,Milling,79,211,356,5,15.8,20529,20608,20318,20397,20252,103040
537,J0221,EV Battery Case,Assembly,79,64,188,5,15.8,20608,20687,20544,20623,20499,103435
538,J0020,Gear Box Cover,Milling,48,393,575,3,16.0,20687,20735,20294,20342,20160,62205
539,J0029,EV Battery Case,Milling,80,204,385,5,16.0,20735,20815,20531,20611,20430,104075
540,J0055,Drive Shaft,Grinding,64,280,386,4,16.0,20815,20879,20535,20599,20493,83516
541,J0086,Gear Box Cover,Drilling,64,66,185,4,16.0,20879,20943,20813,20877,20758,83772
542,J0120,Battery Module Cover,Milling,64,238,357,4,16.0,20943,21007,20705,20769,20650,84028
543,J0134,Engine Bracket,Milling,48,401,492,3,16.0,21007,21055,20606,20654,20563,63165
544,J0170,Gear Box Cover,Milling,48,12,118,3,16.0,21055,21103,21043,21091,20985,63309
545,J0184,Drive Shaft,Grinding,80,152,290,5,16.0,21103,21183,20951,21031,20893,105915
546,J0213,Sensor Housing,Drilling,16,212,378,1,16.0,21183,21199,20971,20987,20821,21199
547,J0255,EV Battery Case,Milling,80,415,536,5,16.0,21199,21279,20784,20864,20743,106395
548,J0283,Engine Bracket,Grinding,48,24,159,3,16.0,21279,21327,21255,21303,21168,63981
549,J0284,Engine Bracket,Grinding,48,316,504,3,16.0,21327,21375,21011,21059,20871,64125
550,J0332,Sensor Housing,Drilling,16,125,222,1,16.0,21375,21391,21250,21266,21169,21391
551,J0439,Sensor Housing,Milling,16,365,527,1,16.0,21391,21407,21026,21042,20880,21407
552,J0468,Battery Module Cover,Milling,64,312,444,4,16.0,21407,21471,21095,21159,21027,85884
553,J0500,Sensor Housing,Milling,16,291,428,1,16.0,21471,21487,21180,21196,21059,21487
554,J0520,Sensor Housing,Drilling,16,283,363,1,16.0,21487,21503,21204,21220,21140,21503
555,J0533,EV Battery Case,Assembly,80,96,229,5,16.0,21503,21583,21407,21487,21354,107915
556,J0561,Engine Bracket,Milling,48,249,344,3,16.0,21583,21631,21334,21382,21287,64893
557,J0573,Engine Bracket,Milling,48,69,204,3,16.0,21631,21679,21562,21610,21475,65037
558,J0653,Drive Shaft,Grinding,64,321,521,4,16.0,21679,21743,21358,21422,21222,86972
559,J0766,Engine Bracket,Milling,48,86,185,3,16.0,21743,21791,21657,21705,21606,65373
560,J0855,Drive Shaft,Lathe,64,204,383,4,16.0,21791,21855,21587,21651,21472,87420
561,J0913,Gear Box Cover,Drilling,48,32,178,3,16.0,21855,21903,21823,21871,21725,65709
562,J0928,Sensor Housing,Milling,16,343,478,1,16.0,21903,21919,21560,21576,21441,21919
563,J0982,Gear Box Cover,Milling,48,277,382,3,16.0,21919,21967,21642,21690,21585,65901
564,J0200,Battery Module Cover,Assembly,81,413,533,5,16.2,21967,22048,21554,21635,21515,110240
565,J0605,Battery Module Cover,Milling,81,250,379,5,16.2,22048,22129,21798,21879,21750,110645
566,J0049,Drive Shaft,Lathe,65,465,661,4,16.25,22129,22194,21664,21729,21533,88776
567,J0258,Battery Module Cover,Assembly,65,95,207,4,16.25,22194,22259,22099,22164,22052,89036
568,J0816,Battery Module Cover,Assembly,65,88,275,4,16.25,22259,22324,22171,22236,22049,89296
569,J0110,Engine Bracket,Milling,49,427,522,3,16.33,22324,22373,21897,21946,21851,67119
570,J0194,Gear Box Cover,Milling,49,68,236,3,16.33,22373,22422,22305,22354,22186,67266
571,J0491,Gear Box Cover,Drilling,49,237,402,3,16.33,22422,22471,22185,22234,22069,67413
572,J0663,Gear Box Cover,Milling,49,181,367,3,16.33,22471,22520,22290,22339,22153,67560
573,J0954,Engine Bracket,Milling,49,411,541,3,16.33,22520,22569,22109,22158,22028,67707
574,J0143,EV Battery Case,Milling,82,71,224,5,16.4,22569,22651,22498,22580,22427,113255
575,J0551,Gear Box Cover,Milling,66,390,510,4,16.5,22651,22717,22261,22327,22207,90868
576,J0603,Drive Shaft,Grinding,66,187,336,4,16.5,22717,22783,22530,22596,22447,91132
577,J0153,EV Battery Case,Milling,83,127,278,5,16.6,22783,22866,22656,22739,22588,114330
578,J0424,EV Battery Case,Assembly,83,221,374,5,16.6,22866,22949,22645,22728,22575,114745
579,J0559,Battery Module Cover,Milling,83,481,616,5,16.6,22949,23032,22468,22551,22416,115160
580,J0052,Gear Box Cover,Drilling,50,380,562,3,16.67,23032,23082,22652,22702,22520,69246
581,J0128,Engine Bracket,Grinding,50,61,151,3,16.67,23082,23132,23021,23071,22981,69396
